Algorithm,DataType,Size,AvgTime(ms)
"Tim Sort","Sorted (Asc)",100000,1.366800
"Tim Sort","Sorted (Asc)",200000,1.782900
"Tim Sort","Sorted (Asc)",500000,5.700100
"Tim Sort","Sorted (Asc)",1000000,12.011500
"Tournament Sort","Partially Sorted (10%)",1000,0.044700
"Tournament Sort","Partially Sorted (10%)",5000,0.302400
"Tournament Sort","Partially Sorted (10%)",10000,0.560900
"Tournament Sort","Partially Sorted (10%)",20000,1.177500
"Tournament Sort","Partially Sorted (10%)",50000,3.169200
"Tournament Sort","Partially Sorted (10%)",100000,6.406500
"Tournament Sort","Partially Sorted (10%)",200000,13.787900
"Tournament Sort","Partially Sorted (10%)",500000,37.005900
"Tournament Sort","Partially Sorted (10%)",1000000,76.703800
"Tournament Sort","Random",1000,0.050700
"Tournament Sort","Random",5000,0.284000
"Tournament Sort","Random",10000,0.612000
"Tournament Sort","Random",20000,1.316000
"Tournament Sort","Random",50000,3.894000
"Tournament Sort","Random",100000,8.505200
"Tournament Sort","Random",200000,19.231000
"Tournament Sort","Random",500000,58.663100
"Tournament Sort","Random",1000000,152.034400
"Tournament Sort","Reversed (Desc)",1000,0.053800
"Tournament Sort","Reversed (Desc)",5000,0.266200
"Tournament Sort","Reversed (Desc)",10000,0.561600
"Tournament Sort","Reversed (Desc)",20000,1.224400
"Tournament Sort","Reversed (Desc)",50000,3.118000
"Tournament Sort","Reversed (Desc)",100000,7.163300
"Tournament Sort","Reversed (Desc)",200000,14.194800
"Tournament Sort","Reversed (Desc)",500000,35.355500
"Tournament Sort","Reversed (Desc)",1000000,72.246000
"Tournament Sort","Sorted (Asc)",1000,0.043300
"Tournament Sort","Sorted (Asc)",5000,0.478100
"Tournament Sort","Sorted (Asc)",10000,0.527900
"Tournament Sort","Sorted (Asc)",20000,1.109500
"Tournament Sort","Sorted (Asc)",50000,2.717400
"Tournament Sort","Sorted (Asc)",100000,6.003500
"Tournament Sort","Sorted (Asc)",200000,12.021700
"Tournament Sort","Sorted (Asc)",500000,30.503700
"Tournament Sort","Sorted (Asc)",1000000,62.233100
